Patient Name         : Acuros lung evaluation, RC Physics
Patient ID           : Case30_AXB_Dm
Comment              : DVHs for one plan
Date                 : 06 February 2017 12:50:22
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case30_AXB_Dm
Course: 30
Plan Status: Unapproved
Prescribed dose [Gy]: 55.000
% for dose (%): 100.0

Structure: BODY
Approval Status: Unapproved
Plan: Case30_AXB_Dm
Course: 30
Volume [cm³]: 18642.8
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 99.8
Min Dose [%]: 0.0
Max Dose [%]: 147.2
Mean Dose [%]: 1.9
Modal Dose [%]: 0.1
Median Dose [%]: 0.2
STD [%]: 5.9
Equiv. Sphere Diam. [cm]: 32.9
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
                0                   0                       100
              0.1               0.055                    72.654
              0.2                0.11                   52.9535
              0.3               0.165                   44.1924
              0.4                0.22                   39.0906
              0.5               0.275                   35.5442
              0.6                0.33                   32.9069
              0.7               0.385                   30.7918
              0.8                0.44                    29.021
              0.9               0.495                    27.507
                1                0.55                   26.2116
              1.1               0.605                   25.0716
              1.2                0.66                   24.0503
              1.3               0.715                   23.1332
              1.4                0.77                   22.3128
              1.5               0.825                   21.5554
              1.6                0.88                   20.8519
              1.7               0.935                   20.1905
              1.8                0.99                   19.5649
              1.9               1.045                   18.9671
                2                 1.1                   18.4037
              2.1               1.155                   17.8715
              2.2                1.21                   17.3731
              2.3               1.265                   16.9085
              2.4                1.32                   16.4663
              2.5               1.375                   16.0442
              2.6                1.43                   15.6373
              2.7               1.485                   15.2432
              2.8                1.54                   14.8687
              2.9               1.595                    14.506
                3                1.65                   14.1595
              3.1               1.705                   13.8315
              3.2                1.76                   13.5198
              3.3               1.815                   13.2147
              3.4                1.87                     12.92
              3.5               1.925                   12.6357
              3.6                1.98                   12.3579
              3.7               2.035                   12.0862
              3.8                2.09                    11.819
              3.9               2.145                   11.5518
                4                 2.2                   11.2825
              4.1               2.255                   11.0237
              4.2                2.31                    10.778
              4.3               2.365                   10.5409
              4.4                2.42                    10.316
              4.5               2.475                   10.0987
              4.6                2.53                   9.89018
              4.7               2.585                   9.68261
              4.8                2.64                   9.47876
              4.9               2.695                   9.27772
                5                2.75                   9.08218
              5.1               2.805                   8.88846
              5.2                2.86                   8.69127
              5.3               2.915                     8.499
              5.4                2.97                   8.30567
              5.5               3.025                   8.12332
