Patient Name         : Acuros lung evaluation, RC Physics
Patient ID           : Case25_AXB_Dm
Comment              : DVHs for one plan
Date                 : 06 February 2017 15:11:59
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case25_AXB_Dm
Course: 1
Plan Status: Unapproved
Prescribed dose [Gy]: 55.000
% for dose (%): 100.0

Structure: BODY
Approval Status: Unapproved
Plan: Case25_AXB_Dm
Course: 1
Volume [cm³]: 32484.9
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 99.9
Min Dose [%]: 0.0
Max Dose [%]: 118.2
Mean Dose [%]: 4.0
Modal Dose [%]: 0.1
Median Dose [%]: 0.6
STD [%]: 9.2
Equiv. Sphere Diam. [cm]: 39.6
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
                0                   0                       100
              0.1               0.055                   94.0336
              0.2                0.11                   79.9324
              0.3               0.165                   69.0565
              0.4                0.22                   60.5641
              0.5               0.275                    54.045
              0.6                0.33                   49.1941
              0.7               0.385                   45.4079
              0.8                0.44                   42.4108
              0.9               0.495                   39.9669
                1                0.55                   37.8946
              1.1               0.605                   36.1066
              1.2                0.66                   34.5551
              1.3               0.715                   33.2056
              1.4                0.77                   32.0273
              1.5               0.825                   30.9916
              1.6                0.88                   30.0705
              1.7               0.935                    29.252
              1.8                0.99                   28.5208
              1.9               1.045                   27.8754
                2                 1.1                   27.2971
              2.1               1.155                   26.7767
              2.2                1.21                   26.3088
              2.3               1.265                   25.8862
              2.4                1.32                   25.5054
              2.5               1.375                   25.1636
              2.6                1.43                   24.8541
              2.7               1.485                   24.5715
              2.8                1.54                     24.31
              2.9               1.595                   24.0673
                3                1.65                   23.8409
              3.1               1.705                   23.6288
              3.2                1.76                   23.4284
              3.3               1.815                   23.2385
              3.4                1.87                   23.0577
              3.5               1.925                   22.8855
              3.6                1.98                   22.7206
              3.7               2.035                   22.5626
              3.8                2.09                   22.4107
              3.9               2.145                   22.2639
                4                 2.2                   22.1214
              4.1               2.255                   21.9828
              4.2                2.31                   21.8476
              4.3               2.365                    21.715
              4.4                2.42                   21.5855
              4.5               2.475                   21.4585
              4.6                2.53                   21.3336
              4.7               2.585                   21.2103
              4.8                2.64                   21.0889
              4.9               2.695                   20.9691
                5                2.75                   20.8501
              5.1               2.805                   20.7326
              5.2                2.86                   20.6167
              5.3               2.915                   20.5015
              5.4                2.97                   20.3872
              5.5               3.025                   20.2733
              5.6                3.08                   20.1599
              5.7               3.135                   20.0468
              5.8                3.19                   19.9334
              5.9               3.245                   19.8201
                6                 3.3                   19.7071
              6.1               3.355                   19.5939
              6.2                3.41                   19.4798
              6.3               3.465                   19.3648
              6.4                3.52                   19.2494
              6.5               3.575                   19.1338
              6.6                3.63                   19.0176
              6.7               3.685                      18.9
              6.8                3.74                   18.7835
              6.9               3.795                   18.6667
                7                3.85                   18.5488
              7.1               3.905                   18.4291
              7.2                3.96                   18.3082
              7.3               4.015                   18.1861
              7.4                4.07                   18.0638
              7.5               4.125                   17.9402
              7.6                4.18                    17.815
              7.7               4.235                    17.689
