Patient Name         : Acuros lung evaluation, RC Physics
Patient ID           : Case30_AAA
Comment              : DVHs for one plan
Date                 : 06 February 2017 12:41:39
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case30_AAA
Course: 30
Plan Status: Unapproved
Prescribed dose [Gy]: 55.000
% for dose (%): 100.0

Structure: BODY
Approval Status: Unapproved
Plan: Case30_AAA
Course: 30
Volume [cm³]: 18642.8
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 100.1
Min Dose [%]: 0.0
Max Dose [%]: 134.6
Mean Dose [%]: 1.7
Modal Dose [%]: 0.0
Median Dose [%]: 0.2
STD [%]: 5.6
Equiv. Sphere Diam. [cm]: 32.9
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
                0                   0                       100
              0.1               0.055                   65.8907
              0.2                0.11                   50.8136
              0.3               0.165                   43.6021
              0.4                0.22                    38.591
              0.5               0.275                   34.8983
              0.6                0.33                   32.0173
              0.7               0.385                   29.7264
              0.8                0.44                   27.8837
              0.9               0.495                   26.3661
                1                0.55                    25.084
              1.1               0.605                   23.9755
              1.2                0.66                   22.9988
              1.3               0.715                   22.1162
              1.4                0.77                   21.3176
              1.5               0.825                   20.5846
              1.6                0.88                   19.9072
              1.7               0.935                   19.2755
              1.8                0.99                   18.6811
              1.9               1.045                   18.1211
                2                 1.1                   17.5901
              2.1               1.155                   17.0809
              2.2                1.21                   16.5919
              2.3               1.265                   16.1229
              2.4                1.32                   15.6726
              2.5               1.375                   15.2402
              2.6                1.43                   14.8348
              2.7               1.485                   14.4545
              2.8                1.54                   14.0932
              2.9               1.595                   13.7447
                3                1.65                   13.4059
              3.1               1.705                   13.0803
              3.2                1.76                   12.7633
              3.3               1.815                   12.4532
              3.4                1.87                   12.1492
              3.5               1.925                   11.8507
              3.6                1.98                   11.5571
              3.7               2.035                   11.2588
              3.8                2.09                   10.9657
              3.9               2.145                   10.6816
                4                 2.2                   10.4153
              4.1               2.255                   10.1634
              4.2                2.31                   9.92044
              4.3               2.365                   9.68721
              4.4                2.42                   9.46157
              4.5               2.475                   9.24031
              4.6                2.53                   9.02085
              4.7               2.585                   8.80549
              4.8                2.64                   8.59364
              4.9               2.695                   8.38565
                5                2.75                   8.18438
              5.1               2.805                   7.98416
              5.2                2.86                   7.79505
              5.3               2.915                   7.61649
              5.4                2.97                   7.44909
              5.5               3.025                   7.29006
              5.6                3.08                   7.13379
              5.7               3.135                   6.98731
              5.8                3.19                   6.84726
              5.9               3.245                   6.71393
                6                 3.3                   6.58685
              6.1               3.355                   6.46604
              6.2                3.41                   6.34556
              6.3               3.465                   6.22878
              6.4                3.52                    6.1162
              6.5               3.575                   6.00858
              6.6                3.63                   5.90575
              6.7               3.685                   5.80723
              6.8                3.74                   5.71357
              6.9               3.795                   5.61975
                7                3.85                   5.53072
              7.1               3.905                   5.44711
              7.2                3.96                   5.36597
              7.3               4.015                   5.28705
              7.4                4.07                   5.21148
              7.5               4.125                   5.13786
              7.6                4.18                   5.06711
              7.7               4.235                   4.99726
              7.8                4.29                   4.92933
              7.9               4.345                   4.86215
                8                 4.4                   4.79627
              8.1               4.455                   4.73385
              8.2                4.51                   4.67218
              8.3               4.565                   4.61296
              8.4                4.62                   4.55635
              8.5               4.675                   4.50199
              8.6                4.73                   4.44762
              8.7               4.785                   4.39583
              8.8                4.84                   4.34476
              8.9               4.895                   4.29425
                9                4.95                   4.24508
              9.1               5.005                   4.19854
              9.2                5.06                   4.15306
              9.3               5.115                   4.10813
              9.4                5.17                   4.06352
              9.5               5.225                   4.01881
              9.6                5.28                   3.97582
              9.7               5.335                   3.93319
              9.8                5.39                   3.89176
              9.9               5.445                   3.84989
               10                 5.5                   3.81125
             10.1               5.555                   3.77216
             10.2                5.61                   3.73214
             10.3               5.665                   3.69392
             10.4                5.72                   3.65696
             10.5               5.775                   3.62064
             10.6                5.83                   3.58399
             10.7               5.885                   3.54747
             10.8                5.94                   3.51129
             10.9               5.995                   3.47551
               11                6.05                   3.44077
             11.1               6.105                   3.40622
             11.2                6.16                   3.37368
             11.3               6.215                   3.34062
             11.4                6.27                   3.30705
             11.5               6.325                   3.27394
             11.6                6.38                   3.24244
             11.7               6.435                   3.21015
             11.8                6.49                   3.17922
             11.9               6.545                    3.1478
               12                 6.6                   3.11662
             12.1               6.655                   3.08632
             12.2                6.71                   3.05637
             12.3               6.765                   3.02628
             12.4                6.82                   2.99639
             12.5               6.875                   2.96632
             12.6                6.93                   2.93629
             12.7               6.985                   2.90736
             12.8                7.04                   2.87854
             12.9               7.095                   2.84953
               13                7.15                   2.82147
             13.1               7.205                   2.79408
             13.2                7.26                     2.766
             13.3               7.315                   2.73841
             13.4                7.37                   2.71188
             13.5               7.425                   2.68611
             13.6                7.48                   2.66105
             13.7               7.535                   2.63579
             13.8                7.59                   2.60999
             13.9               7.645                   2.58529
               14                 7.7                   2.56043
             14.1               7.755                   2.53617
             14.2                7.81                   2.51171
             14.3               7.865                   2.48749
             14.4                7.92                   2.46347
             14.5               7.975                   2.43873
             14.6                8.03                   2.41531
             14.7               8.085                   2.39225
             14.8                8.14                   2.36916
             14.9               8.195                   2.34684
               15                8.25                   2.32461
             15.1               8.305                   2.30238
             15.2                8.36                    2.2806
             15.3               8.415                   2.25866
             15.4                8.47                   2.23697
             15.5               8.525                   2.21557
             15.6                8.58                   2.19464
             15.7               8.635                   2.17365
             15.8                8.69                   2.15288
             15.9               8.745                   2.13227
               16                 8.8                   2.11141
             16.1               8.855                   2.09104
             16.2                8.91                   2.07058
             16.3               8.965                   2.05088
             16.4                9.02                   2.03106
             16.5               9.075                   2.01138
             16.6                9.13                   1.99164
             16.7               9.185                   1.97233
             16.8                9.24                   1.95355
             16.9               9.295                   1.93443
               17                9.35                   1.91598
             17.1               9.405                   1.89686
             17.2                9.46                   1.87826
             17.3               9.515                   1.85968
             17.4                9.57                   1.84095
             17.5               9.625                   1.82274
             17.6                9.68                   1.80462
             17.7               9.735                   1.78646
             17.8                9.79                   1.76891
             17.9               9.845                   1.75243
               18                 9.9                   1.73657
             18.1               9.955                   1.72064
             18.2               10.01                   1.70517
