Patient Name         : Acuros HN evaluation, RC physics
Patient ID           : Case7_Dm
Comment              : DVHs for one plan
Date                 : 21 November 2016 14:49:53
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case7_Dm
Course: 1
Plan Status: Unapproved
Prescribed dose [Gy]: 65.010
% for dose (%): 100.0

Structure: Artifact_P2
Approval Status: Unapproved
Plan: Case7_Dm
Course: 1
Volume [cm³]: 79.5
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 100.0
Min Dose [%]: 1.3
Max Dose [%]: 110.7
Mean Dose [%]: 64.8
Modal Dose [%]: 105.5
Median Dose [%]: 60.1
STD [%]: 24.6
Equiv. Sphere Diam. [cm]: 5.3
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
                0                   0                       100
              0.1             0.06501                       100
              0.2             0.13002                       100
              0.3             0.19503                       100
              0.4             0.26004                       100
              0.5             0.32505                       100
              0.6             0.39006                       100
              0.7             0.45507                       100
              0.8             0.52008                       100
              0.9             0.58509                       100
                1              0.6501                       100
              1.1             0.71511                       100
              1.2             0.78012                       100
              1.3             0.84513                       100
              1.4             0.91014                   99.9999
              1.5             0.97515                   99.9999
              1.6             1.04016                   99.9999
              1.7             1.10517                   99.9999
              1.8             1.17018                   99.9999
              1.9             1.23519                   99.9999
                2              1.3002                   99.9999
              2.1             1.36521                   99.9999
              2.2             1.43022                   99.9999
              2.3             1.49523                   99.9999
              2.4             1.56024                   99.9999
              2.5             1.62525                   99.9998
              2.6             1.69026                   99.9997
              2.7             1.75527                   99.9996
              2.8             1.82028                   99.9996
              2.9             1.88529                   99.9995
                3              1.9503                   99.9995
              3.1             2.01531                   99.9995
              3.2             2.08032                   99.9995
              3.3             2.14533                   99.9995
              3.4             2.21034                   99.9994
              3.5             2.27535                   99.9994
              3.6             2.34036                   99.9993
              3.7             2.40537                   99.9993
              3.8             2.47038                   99.9992
              3.9             2.53539                   99.9992
                4              2.6004                   99.9991
              4.1             2.66541                   99.9991
              4.2             2.73042                    99.999
              4.3             2.79543                    99.999
              4.4             2.86044                   99.9989
              4.5             2.92545                   99.9988
              4.6             2.99046                   99.9988
              4.7             3.05547                   99.9987
              4.8             3.12048                   99.9986
              4.9             3.18549                   99.9985
                5              3.2505                   99.9985
              5.1             3.31551                   99.9984
              5.2             3.38052                   99.9984
              5.3             3.44553                   99.9984
              5.4             3.51054                   99.9983
              5.5             3.57555                   99.9983
              5.6             3.64056                   99.9983
              5.7             3.70557                   99.9983
              5.8             3.77058                   99.9982
              5.9             3.83559                   99.9982
                6              3.9006                   99.9981
              6.1             3.96561                    99.998
              6.2             4.03062                   99.9979
              6.3             4.09563                   99.9978
              6.4             4.16064                   99.9977
              6.5             4.22565                   99.9976
              6.6             4.29066                   99.9975
              6.7             4.35567                   99.9973
              6.8             4.42068                   99.9972
              6.9             4.48569                   99.9971
                7              4.5507                    99.997
              7.1             4.61571                   99.9969
              7.2             4.68072                   99.9966
              7.3             4.74573                   99.9963
              7.4             4.81074                    99.996
              7.5             4.87575                   99.9957
              7.6             4.94076                   99.9953
              7.7             5.00577                   99.9949
